,subject,predicate,object,negated,source_quote
34,Section 330.9,sets forth,requirements that must be satisfied for a joint account to be insured,FALSE,Sectio n 330.9 s ets fo rt h requirements t ha t mu st be satisf ied for a j oin t account t o be in sured under t Account join t acco unt c ategory.
35,a joint deposit account,shall be deemed to be,a qualifying joint account,FALSE,A j oint de posit  account s hall be de eme d to be  a  qua lifying j oint a ccount o nly if :
36,All co-owners of tAccount funds in the account,are,natural persons,FALSE,All co -o wners of tAccount funds in the account are “natural persons” (as defined in 12 CFR § 330.1( l)); and
37,co-owners of the funds in the account,are,natural persons,FALSE,All co-owners of the funds in the account are “natural persons” (as defined in 12 CFR § 330.1( l));
38,Each co-owner,has signed,a deposit account signature card,FALSE,"Each co-owner has personally signed, which may include signing electronically, a deposit account signature card, or the alternative method provided in the paragraph below;"
39,Each co-owner,possesses,withdrawal rights,FALSE,Each co-owner possesses withdrawal rights on the same basis.
40,signature card requirement,serves as,an indicator of ownership of the funds,FALSE,"The signature card requirement serves as an indicator of ownership of the funds, which is the basis for FDIC deposit insurance coverage."
41,signature card requirement,helps to differentiate,accounts where multiple signors exist,FALSE,"The signature card requirement helps to differentiate accounts where multiple signors exist, and those signors are not owners of the funds, such as a “power of attorney” arrangement (sometimes referred to as a “convenience account.”)"
42,2019 amendments to 12 CFR § 330.9(c),provide,flexibility for institutions to meet the signature card requirements,FALSE,The 2019 amendments to 12 CFR § 330.9(c) provide flexibility for institutions to meet the signature card requirements through information in the institution’s deposit account records establishing co-ownership of the account.
43,institution,has issued,mechanism for accessing the account to each co-owner,FALSE,evidence that the institution has issued a mechanism for accessing the account to each co-owner
44,IDI,has issued,debit card to each co-owner of the account,FALSE,evidence that an IDI has issued a debit card to each co-owner of the account
45,each co-owner of the account,has transacted using,the deposit account,FALSE,evidence that each co-owner of the account has transacted using the deposit account
46,credit balances on debt accounts,constitute,deposit liabilities,FALSE,Credit balances on debt accounts constitute deposit liabilities
47,covered institution’s debt account records,demonstrate,the obligors are jointly liable,FALSE,If a covered institution’s debt account records demonstrate that the obligors are jointly liable
48,credit balance,should be insured in,the JNT ORC,FALSE,then the credit balance should be insured in the JNT ORC
49,FDIC,will view execution of the debt agreement by each person with joint liability as,satisfaction of the joint account signature card requirement,FALSE,FDIC will view execution of the debt agreement by each person with joint liability as satisfaction of the joint account signature card requirement
50,a covered institution,believes,accounts would qualify under the JNT ORC,FALSE,Where a covered institution believes accounts would qualify under the JNT ORC
51,a covered institution,believes,an account does not meet the JNT ORC requirements,FALSE,Where a covered institution believes an account does not meet the JNT ORC requirements
52,that account,should revert to,the SGL ORC,FALSE,then that account should revert to the SGL ORC
53,CI,lacks sufficient data to populate required fields,required fields,FALSE,the CI lacks sufficient data to populate required fields
54,CI,received FDIC approval of a request for relief regarding a such account,request for relief,FALSE,received FDIC approval of a request for relief regarding a such account
55,CI,has a request for such relief pending with the FDIC,request for such relief,FALSE,has a request for such relief pending with the FDIC
56,account,qualifies for alternative recordkeeping under section 370.4(b),alternative recordkeeping,FALSE,the account qualifies for alternative recordkeeping under section 370.4(b)
57,deposit insurance,is available for depositor in each deposit account,depositor in each deposit account,FALSE,deposit insurance is available for depositor in each deposit account
58,deposFDIC insurance,is available for,deposits in each deposit account,FALSE,deposFDIC insurance is available for deposits in each deposit account pursuant to 12 CFR Part 330.
59,each beneficial owner,of,deposits,FALSE,"Identify each beneficial owner of deposits, to the extent required under Part 370, and assign a unique identifier for each."
60,all depositor information,has been captured,"to the extent required by the Rule, to calculate deposit insurance",FALSE,"Identify whether all depositor information has been captured, to the extent required by the Rule, to calculate deposit insurance."
61,depositors,who have,outstanding debts with the CI,FALSE,"Identify depositors who have outstanding debts with the CI – outstanding debts may include mortgages, home equity loans, personal secured and unsecured loans, car loans, and corporate loans."
62,government depositors,who have,security pledged to their deposit accounts as a part of their deposit agreement with the CI,FALSE,Identify government depositors who have security pledged to their deposit accounts as a part of their deposit agreement with the CI.
63,deposit accounts,are associated with,prepaid cards,FALSE,Identify whether the deposit accounts are associated with prepaid cards.
64,each deposit account,has at least one,depositor,FALSE,"Validate that each deposit account has at least one depositor associated with Validate (i.e., there are no orphan accounts)."
65,all joint accounts,meet the,signature card requirements,FALSE,Validate that all joint accounts meet the signature card requirements as defined in 12 CFR 330 – Joint Ownership Deposit Accounts.
66,beneficial owner,has died,within the last six months,FALSE,if a beneficial owner has died within the last six months
67,JNT deposit account,would be re-classified as,single account (SGL) owned solely by the surviving co-owner,FALSE,the JNT deposit account would be re-classified as a single account (SGL) owned solely by the surviving co-owner after six months have passed since the death of a co-owner.
68,account and principal,are placed in,the Pending File,FALSE,If the account and principal are placed in the Pending File
69,FDIC’s Deposit Broker’s Processing Guide,provides,a process through which third parties can provide timely and accurate information to the FDIC,FALSE,The FDIC’s Deposit Broker’s Processing Guide...provides a process through which third parties can provide timely and accurate information to the FDIC
70,this process,has historically supported,the timely payment of deposit insurance by the FDIC following bank failures,FALSE,This process has historically supported the timely payment of deposit insurance by the FDIC following bank failures
71,Appendix D,includes,additional fields that will improve integration with the CI’s IT systems,FALSE,Appendix D includes additional fields that will improve integration with the CI’s IT systems
72,CI,includes,additional fields,FALSE,Appendix D includes additional fields that will improve integration with the CI’s IT systems
73,CI,must be capable of receiving,multiple and sequential submissions of depositor data,FALSE,the CI’s IT system must be capable of receiving multiple and sequential submissions of depositor data from account holders
74,CI’s IT systems,will be used in making,deposit insurance calculations,FALSE,the CI’s IT systems will be used in making deposit insurance calculations
75,FDIC staff,recommends,CIs work with account holders,FALSE,FDIC staff recommends that CIs work with account holders that maintain deposit accounts on behalf of other persons
76,account holders of deposit accounts,are entitled to,pass-through deposit insurance coverage,FALSE,"Should the CI fail, account holders of deposit accounts entitled to pass-through deposit insurance coverage"
77,creation of this report,is,voluntary,FALSE,The creation of this report is voluntary.
78,Tedit creation of this report,is,voluntary,FALSE,Tedit creation of this report is voluntary
79,Appendix C to the final rule,allows,a CI to produce a file,FALSE,Appendix C to the final rule allows a CI to produce a file
80,CI's Part 370 IT system capabilities,must be able to generate,the Credit Balance Processing File,FALSE,The CI's Part 370 IT system capabilities must be able to generate the Credit Balance Processing File
81,Credit Balance Processing File,to be used to calculate,deposit insurance coverage,FALSE,to be used to calculate deposit insurance coverage for deposits resulting from credit balances on accounts
82,TFDI,will perform,compliance testing,FALSE,TFDI F DIC will perform compliance testing no sooner than tda last day of the first calendar quarter following the compliance date
83,TFDI,would occur,compliance testing no more frequently than on a three-year cycle thereafter,FALSE,would occur no more frequently than on a three-year cycle thereafter
84,FDIC,may conduct,such tests at any time thereafter,FALSE,in which case t da FDIC may conduct such tests at any time thereafter
85,FDIC,will test,the completeness and accuracy of the CI’s deposit account records for Part 370 purposes,FALSE,The FDIC will test (1) the completeness and accuracy of the CI’s deposit account records for Part 370 purposes
86,FDIC,will test,the accuracy of the CI’s IT system to calculate deposit insurance and prepare the Part 370 output files,FALSE,(2) the accuracy of the CI’s IT system to calculate deposit insurance and prepare the Part 370 output files
87,CI,will have,an opportunity to address any deficiencies identified during compliance testing,FALSE,The CI will have an opportunity to address any deficiencies identified during compliance testing
88,FDIC,will test,processes to integrate data concerning alternative recordkeeping and exception accounts,FALSE,The FDIC will also test processes to integrate data concerning alternative recordkeeping and exception accounts
89,CI’s IT system,may be,"unique in architecture, complexity, and capabilities",FALSE,"Each CI’s IT system will likely be unique in architecture, complexity, and capabilities."
90,CI’s IT system,may have,different methods for implementation,FALSE,"as such, CIs may have different methods for implementation."
91,TDIC FDIC,will use,the stored information,FALSE,"TDIC FDIC will use the stored information to ensure that data aggregation and calculation processes are identified, documented, and tested before determining deposit insurance calculations."
92,check,posted to,account,FALSE,A check posted to an account prior to the Cutoff Point (as defined in section 360.8)...
93,check,included as part of,Close-of-Business Account Balance Point,FALSE,"A check posted to an account prior to the Cutoff Point (as defined in section 360.8), but not yet collected by the depository institution at the time of failure, will be included as part of the Close-of-Business Account Balance Point (as defined in section 360.8)."
94,ultimate treatment of items in transit,will depend on,strategy used to resolve the failed bank,FALSE,The ultimate treatment of items in transit at the time of failure will depend on the strategy used to resolve the failed bank.
95,FDIC,will implement,decisions made as to the proper handling of pending transactions,FALSE,"At the time of failure, the FDIC will implement decisions made as to the proper handling of pending transactions including but not limited to incoming wires, bank-rejected items, incoming ACH, lockbox."
96,FDIC,will notify,all fiduciaries listed on the most recent optional Alternative Recordkeeping Entity Report,FALSE,The FDIC will notify all fiduciaries listed on the most recent optional Alternative Recordkeeping Entity Report to request deposit account records in the format outlined in the Part 370 addendum to the Deposit Broker’s Processing Guide (Appendix D to this Guide).
97,These entities,will determine and report,each customer’s principal balance as of the date and time of CI failure,FALSE,These entities will determine and report each customer’s principal balance as of the date and time of CI failure.
98,FDIC,will utilize,the CI’s systems,FALSE,The FDIC will utilize the CI’s systems to execute the end-of-day processes to ensure that all
99,FDIC,utilize,CI’s systems,FALSE,The FDIC will utilize the CI’s systems to execute the end-of-day processes...
100,FDIC,maintain,the deposit account records,FALSE,Maintain the deposit account records at the time of failure for all deposit systems...
101,CI,aggregate,depositor accounts,FALSE,Aggregate depositor accounts for all ORCs by the beneficial owner...
102,CI,apply,deposit insurance rules,FALSE,apply deposit insurance rules to all eligible deposit accounts held at the CI.
103,depositor,has,aggregate balance at a CI,FALSE,"If the depositor’s aggregate balance at a CI is no more than the SMDIA, then all the funds the account holder has at a CI are fully insured and do not require aggregation by ownership right and capacity."
104,FDIC,will use,CI’s IT system to calculate deposit insurance,FALSE,The FDIC will use the CI’s IT system to calculate deposit insurance as follows.
105,depositor’s aggregate balances,exceed,SMDIA,FALSE,"If a depositor’s aggregate balances exceed the SMDIA, the balances must be aggregated by ORC for a deposit insurance determination, as required by law."
106,insured funds,will be released,iteratively,FALSE,Insured funds will be released iteratively as the insurance determinations are completed.
107,hold on the estimated uninsured amount,will remain,partial hold,FALSE,"The hold on the estimated uninsured amount will remain, i.e., a partial hold, until all pending files are processed."
108,Customer File,is used by,FDIC,FALSE,The Customer File is used by the FDIC to capture information regarding the beneficial owners
109,Account File,specifies,insured and uninsured balances available to each depositor,FALSE,The Account File specifies the insured and uninsured balances available to each depositor
110,Account Participant File,identifies,account participants,FALSE,"The Account Participant File identifies account participants, captures indicative information, and captures account participant allocations"
111,FDIC,conducts,activities using CI’s IT systems,FALSE,The following activities are conducted by the FDIC using the CI’s IT systems in order to gather the data needed to complete the deposit insurance determination.
112,FDIC,will review and approve,the calculations before insured funds are released,FALSE,The FDIC will review and approve the calculations before insured funds are released or any uninsured funds are debited.
113,Account holder,shall be deemed as,a depositor entitled to up to the SMDIA as provided for under the applicable ownership category,FALSE,Account holder shall be deemed as a depositor entitled to up to the SMDIA as provided for under the applicable ownership category.
114,A deceased account holder,may have,multiple accounts at the bank in the single account ownership right and capacity category (SGL ORC),FALSE,A deceased account holder may have multiple accounts at the bank in the single account ownership right and capacity category (SGL ORC).
115,Accounts titled to the decedent or for the 'estate of' the decedent,should be aggregated and insured up to,the SMDIA,FALSE,"Accounts titled to the decedent or for the 'estate of' the decedent, in the SGL category, should be aggregated and insured up to the SMDIA."
116,Part 370 recordkeeping and reporting,should utilize,"ownership right and capacity codes 'REV' and 'IRR' for trust accounts insured as described in §§ 330.10 and 330.13 until March 31, 2024",FALSE,"Part 370 recordkeeping and reporting should utilize ownership right and capacity codes 'REV' and 'IRR' for trust accounts insured as described in §§ 330.10 and 330.13 until March 31, 2024."
117,Part 370 recordkeeping and reporting,should utilize,"ownership right and capacity code 'TST' for the combined revocable and irrevocable trust category set forth in the revision of § 330.10 that takes effect on April 1, 2024",FALSE,"On and after April 1, 2024, Part 370 recordkeeping and reporting should utilize ownership right and capacity code 'TST' for the combined revocable and irrevocable trust category set forth in the revision of § 330.10 that takes effect on April 1, 2024."
118,account holder,is entitled to,SMDIA,FALSE,the account holder of a single account for the combined amount of his or her interests in all single accounts at the same CI is entitled to SMDIA.
119,single ownership accounts,have been processed through,Section 4.1.2.1 Right and Capacity and SMDIA Calculation,FALSE,If all single ownership accounts have been processed through Section 4.1.2.1 Right and Capacity and SMDIA Calculation...
120,single ownership accounts,are identified with,beneficial owners of the deposits,FALSE,Identify all single-ownership accounts and the beneficial owners of the deposits in these accounts.
121,total balance plus accrued interest,does not exceed,SMDIA,FALSE,"If the total balance plus accrued interest does not exceed SMDIA, then the funds are fully insured and the insured amount for each account is equal to the sum of the balance and accrued interest."
122,total balance plus accrued interest,exceeds,SMDIA,FALSE,"If the total balance plus accrued interest exceeds SMDIA, then funds in excess of SMDIA are not insured."
123,there are uninsured funds,for,the account holder,FALSE,If there are uninsured funds for the account holder then apply debits.
124,the respective uninsured amount,to each account for,the account holder,FALSE,Based on the above calculation record the respective uninsured amount to each account for the account holder.
125,the insured amount for each individual account,is calculated as,"the sum of the current balance and accrued interest, less the uninsured amount",FALSE,"Calculate the insured amount for each individual account as the sum of the current balance and accrued interest, less the uninsured amount, and then record the insured amount for each account."
126,co-owners,are,natural persons,FALSE,a) Verifying all co-owners are “natural persons” (defined as human beings);
127,co-owners,have,equal withdrawal rights,FALSE,b) Determining all co-owners have equal withdrawal rights;
128,co-owners,have signed,the signature card,FALSE,"c) Verify all co-owners have signed the signature card, or have satisfied the signature requirement, as discussed in section 2.3.1 above."
129,FDIC,will view,execution of the debt agreement by each person with joint liability as satisfaction of the joint account signature card requirement,FALSE,FDIC will view execution of the debt agreement by each person with joint liability as satisfaction of the joint account signature card requirement.
130,accounts that include one or more co-owners that are not natural persons,should be treated as,jointly owned by the remaining natural person co-owners,FALSE,the funds should be treated as jointly owned by the remaining natural person co-owners.
131,the account,should be reclassified as,a single ownership account for deposit insurance purposes,FALSE,the account should be reclassified as a single ownership account for deposit insurance purposes.
132,Accounts that the CI treats as joint,should be placed in,the Pending File under the JNT DP_Right_Capacity code and the RAC Pending_Reason code,FALSE,Accounts that the CI treats as joint but do not meet the signature card requirement should be placed in the Pending File under the JNT DP_Right_Capacity code and the RAC Pending_Reason code.
133,the ORC,will be determined by,the actual ownership interest of the named account holders,FALSE,the ORC will be determined by the actual ownership interest of the named account holders.
134,account co-owner,is deceased,TRUE,FALSE,"If an account co-owner is deceased, then determine if the six-month rule applies."
135,six-month rule,applies,TRUE,FALSE,"If it does, continue to classify as JNT (subject to other JNT requirements)."
136,account,meets the definition of,qualifying joint account,FALSE,"If the account meets the definition of a “qualifying” joint account, then set DP_Right_Capacity equal to JNT."
137,total account balance and accrued interest,is split,equally across the total number of account co-owners,FALSE,Split the total account balance and accrued interest equally across the total number of account co-owners.
138,Each co-owner of a qualifying joint account,is insured up to,SMDIA for -owner share of all qualifying joint accounts at the same CI,FALSE,Each co-owner of a qualifying joint account (s) is insured up to SMDIA for -owner share of all qualifying joint accounts at the same CI.
139,Each depositor,is insured up to,SMDIA in the JNT ORC,FALSE,Each depositor is insured up to the SMDIA in the JNT ORC.
140,account co-owner,funds are fully insured,across all joint accounts at the CI,FALSE,the funds of the account co-owner across all joint accounts at the CI are fully insured.
141,uninsured funds,calculate the uninsured amount,for each account co-owner,FALSE,calculate the uninsured amount for each account co-owner based on steps 3(a) and 3 (b) above.
142,uninsured funds,apply debits,to the appropriate account,FALSE,If there are uninsured funds for an account co-owner then apply debits to the appropriate account.
143,account co-owner,has,uninsured funds,FALSE,If there are uninsured funds for an account co -owner then apply debits to the appropriate account.
144,account co-owner,has,respective uninsured amount,FALSE,record the respective uninsured amount for each account of the account co -owner.
145,owner,has,insured amount,FALSE,The insured amount of the owner for each individual account is the difference between the co -owner’s funds in that account and the uninsured amount calculated based on the steps above.
146,primary unique beneficiary,is,person or entity entitled to an interest in the trust when the grantor dies,FALSE,A primary unique beneficiary is the person or entity entitled to an interest in the trust when the grantor dies.
147,trusts,identify,life estate beneficiary with remainder beneficiaries,FALSE,Some trusts identify a life estate beneficiary with remainder beneficiaries upon the death of the life estate beneficiary.
148,grantor – life estate beneficiary pair,is insured,up to the SMDIA across all REV trusts at the same CI,FALSE,each grantor – life estate beneficiary pair is insured up to the SMDIA across all REV trusts at the same CI.
149,remainder beneficiaries,are considered,primary beneficiaries,FALSE,The remainder beneficiaries are also considered primary beneficiaries.
150,grantor,is deceased,FDIC’s six-month rule applies,FALSE,If a grantor is deceased determine if the FDIC’s six-month rule applies.
151,account,is classified,as REV,FALSE,"If FDIC does, then continue to classify the account as REV."
152,grantor’s death,is recognized,for purposes of ORC selection and insurance calculation,FALSE,"If the six-month rule does not apply, then recognize the grantor’s death for purposes of ORC selection and insurance calculation."
153,REV,is an informal revocable trust,with two grantors,FALSE,If the REV is an informal revocable trust (e.g. POD account) with two grantors.
154,account,is treated,as a REV with one grantor,FALSE,"then after the first grantor dies and the six-month rule expires, treat the account as a REV with one grantor."
155,REV,is a formal revocable trust,with two grantors,FALSE,If the REV is a formal revocable trust with two grantors.
156,terms of the trust agreement,dictate,the trust be treated as an IRR,FALSE,unless the terms of the trust agreement dictate the trust be treated as an IRR.
157,primary beneficiaries,are,deceased,FALSE,"If all primary beneficiaries are deceased, then:"
158,there,are,no substitute or contingent beneficiaries,FALSE,"If there are no substitute or contingent beneficiaries named in the revocable trust document for that primary beneficiary, then"
159,Funds associated with that revocable trust,should be treated as,funds in a single or joint account ORC belonging to the trust grantor(s),FALSE,Funds associated with that revocable trust should be treated as funds in a single or joint account ORC belonging to the trust grantor(s) and aggregated and insured with other accounts of the trust grantor(s) in the corresponding ORC.
160,the trust document (or bank records for an informal revocable trust),indicates,the interest associated with a deceased primary beneficiary is passed to other beneficiaries,FALSE,"If the trust document (or bank records for an informal revocable trust) indicates the interest associated with a deceased primary beneficiary is passed to other beneficiaries (e.g., per stirpes or per capita),"
161,there,is,no contingency for the deceased beneficiaries,FALSE,"If some primary beneficiaries are deceased and there is no contingency for the deceased beneficiaries,"
162,some primary beneficiaries,are,deceased,FALSE,If some primary beneficiaries are deceased and there is no contingency for the deceased beneficiaries
163,the trust,has,two eligible beneficiaries,FALSE,then the trust has two eligible beneficiaries.
164,a beneficiary,is,ineligible,FALSE,"If a beneficiary is ineligible, then the beneficiary should be ignored for purposes of deposit insurance calculation under REV."
165,Funds associated with that ineligible beneficiary,should be treated as,funds in a single account (SGL_ORC),FALSE,Funds associated with that ineligible beneficiary should be treated as funds in a single account (SGL_ORC) for the grantor and aggregated with other SGL accounts the grantor has at the same CI.
166,half the account,is treated as,A’s SGL ORC,FALSE,"then half the account ($150,000) is treated as A’s SGL ORC"
167,A,has,SGL ORC,FALSE,"half the account ($150,000) is treated as A’s SGL ORC"
168,B,has,SGL ORC,FALSE,"other half ($150,000) is treated as B’s SGL ORC"
169,funds associated with an ineligible beneficiary,is reverted to,funds in the SGL right and capacity of the grantor(s),FALSE,the funds associated with an ineligible beneficiary is reverted to funds in the SGL right and capacity of the grantor(s)
170,primary beneficiary,is,invalid,FALSE,If a primary beneficiary is invalid
171,Funds associated with that invalid beneficiary,should be allocated to,remaining beneficiaries,FALSE,Funds associated with that invalid beneficiary should be allocated to the remaining beneficiaries
172,Funds,should be allocated to,the remaining beneficiaries,FALSE,Funds associated with that invalid beneficiary should be allocated to the remaining beneficiaries.
173,co-owners of a revocable trust,are,the sole beneficiaries of the corresponding trust,FALSE,"Where the co-owners of a revocable trust are the sole beneficiaries of the corresponding trust,"
174,the account,shall be insured as,a joint account,FALSE,the account shall be insured as a joint account
175,the account,names as beneficiary,a formal revocable trust owned in whole or part by someone other than the account holders,FALSE,"If the account names as beneficiary a formal revocable trust owned in whole or part by someone other than the account holders,"
176,the account,has,no eligible beneficiaries,FALSE,"If the account has no eligible beneficiaries,"
177,account,meets the definition of,a revocable trust account,FALSE,"If the account meets the definition of a revocable trust account, then set DP_Right_Capacity equal to REV."
178,there,is,a life estate beneficiary who has the right to receive income from the trust or to use trust assets during the beneficiary’s lifetime prior to other beneficiaries,FALSE,"If there is a life estate beneficiary who has the right to receive income from the trust or to use trust assets during the beneficiary’s lifetime prior to other beneficiaries, then flag the beneficiary as a life estate beneficiary."
179,unique combination of grantor and unique life estate beneficiary,is entitled to,SMDIA for the combined amount of all account interests at the same CI,FALSE,Each unique combination of grantor and unique life estate beneficiary is entitled to the SMDIA for the combined amount of all account interests at the same CI.
180,unique combination of grantor and eligible unique primary beneficiary,is entitled to,SMDIA for the combined amount of all account interests at the same CI,FALSE,Each unique combination of grantor and eligible unique primary beneficiary is entitled to the SMDIA for the combined amount of all account interests at the same CI.
181,life estate beneficiary,is valued at,SMDIA for purpose of deposit insurance calculation,FALSE,note a life estate beneficiary is valued at the SMDIA for purpose of deposit insurance calculation.
182,invalid beneficiary,is unable to legally receive,the bequest under state law,FALSE,An invalid beneficiary is unable to legally receive the bequest under state law.
183,bequests to invalid beneficiaries,are ignored,funds allocated to the remaining beneficiaries,FALSE,"For purposes of calculating deposit insurance coverage, bequests to invalid beneficiaries are ignored and funds are allocated to the remaining beneficiaries."
184,all primary beneficiaries,have equal interest in,the grantor’s trust account,FALSE,if all primary beneficiaries have equal interest in the grantor’s trust account...
185,grantor’s interest,does not exceed,SMDIA times the number of eligible unique beneficiaries,FALSE,"If the total amount of the grantor’s interest does not exceed SMDIA times the number of eligible unique beneficiaries, then all of the grantor’s revocable trust funds at the CI are fully insured."
186,grantor’s interest,is greater than,SMDIA times the number of eligible unique beneficiaries,FALSE,"If the total amount of the grantor’s interest is greater than SMDIA times the number of eligible unique beneficiaries, then the excess is the uninsured amount for the account holder."
187,total number of eligible unique beneficiaries of a grantor,is six or more,all the beneficiaries do not have equal interest in the trust,FALSE,"If the total number of eligible unique beneficiaries of a grantor is six or more and all the beneficiaries do not have equal interest in the trust, then:"
188,actual allocation to each beneficiary,is the SMDIA or less,grantor’s entire revocable trust funds,FALSE,"If the actual allocation to each beneficiary is the SMDIA or less, then the grantor’s entire revocable trust funds are fully insured."
189,grantor’s trust account,contains,life estate beneficiaries,FALSE,"If the grantor’s trust account contains life estate beneficiaries, then the interest for each unique life estate beneficiary is insured up to SMDIA."
190,estate beneficiary,is insured up to,SMDIA,FALSE,estate beneficiary is insured up to SMDIA.
191,grantor,is insured for the greater of,the sum of each beneficiary’s share of the trust deposit up to SMDIA for each beneficiary or five times SMDIA,FALSE,the grantor is insured for the greater of (a) the sum of each beneficiary’s share of the trust deposit up to SMDIA for each beneficiary or (b) five times SMDIA.
192,total amount of the grantor,exceeds,the insured amount calculated based on the above,FALSE,"If the total amount of the grantor exceeds the insured amount calculated based on the above, the excess is the uninsured amount for the grantor."
193,funds that do not meet the requirements for the REV ORC,aggregate and calculate deposit in,the SGL ORC,FALSE,"For all funds that do not meet the requirements for the REV ORC, aggregate and calculate deposit in the SGL ORC."
194,uninsured funds for the grantor,apply,debits,FALSE,If there are uninsured funds for the grantor in either the REV or other ORC then apply debits.
195,uninsured amount of the grantor,is recorded to,each associated account,FALSE,"Based on the above calculation, record the respective uninsured amount of the grantor to each associated account."
